university,med_course,med_alevel_req,med_ib_req,med_gcse_req,med_admission_test,med_interview_type,med_teaching_style,med_work_experience,med_singapore_approved,med_url,med_location,med_intl_applicants,med_intl_offers,med_intl_offer_pct,med_singapore_recognised_at
University of Greater Manchester,MBChB Medicine (A100),"We require at least three A-levels with a minimum of grades AAB, including Chemistry or Biology, and one of Biology, Chemistry, Physics, Maths and the third in any subject. Grades can be in any order. We do not accept A-levels in General Studies, Critical Thinking, Citizenship Studies or Global Perspectives.","We require a minimum score of 34 points overall, and a minimum score of 6, 6, 6 in three Higher Level subjects including Chemistry or Biology, and one of Biology, Chemistry, Physics or Maths.","You must possess at least five GCSE/IGCSE qualifications at grades 6-9. These must include Mathematics, English Language and two sciences (including Chemistry and Biology or Double Science). We will consider resits in GCSE English Language or Maths.",None.,"The interview process will be conducted online and involves a series of multiple mini-interviews and tests. You will be assessed on your values, behaviours, communication and problem-solving skills. We are seeking students who can demonstrate a commitment to a career in medicine and lifelong learning, who have excellent communication skills, who are caring, compassionate, resilient and assertive, and who can remain calm and reassuring in stressful situations.","This course uses multiple teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with three years of  €˜pre-clinical' work, involving study of the basic medical sciences.  This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.","Clinical work experience is not mandatory. We think it is beneficial for applicants to undertake work experience of some form before applying so that you are aware of what a career caring for people may involve, and elements from this will be used during the selection process.",Not Approved,https://www.medschools.ac.uk/courses/university-of-greater-manchester-medical-school-mbchb-medicine-a100/,Bolton,,,,
University of Lancashire,MBBS Medicine (A100),AAA at A2 with at least two science subjects including Chemistry. All A-Levels must be taken in one sitting. IELTS: 7.0 with no component lower than 7.0 (International Applicants).,"Diploma 36 points overall and 144 UCAS tariff points achieved from Chemistry and another science subject at Higher Level H6, plus one other at H6.",GCSE Maths and English at Grade B/5.,UCAT,In person and online multiple mini interviews.,"This course uses multiple teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences.  This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.","Students are required to submit a transferable skills form, detailing work experience which is discussed in interview. Clinical experience is not required.",Not Approved,https://www.medschools.ac.uk/courses/mbbs-medicine-a100-2/,Preston,,,,
University of Leeds,MBChB Medicine (A100),"AAA including Chemistry and Biology. Taking a fourth A2 subject will not be at an advantage to those taking three. We do not rate A* as being higher than A, so we will not accept A*A*B instead of AAA. Note that Human Biology, Sports Science, Further Mathematics and Statistics are only accepted as a 4th A level noting that 4th A levels do not form part of our scoring system. Please note that A levels sat in Year 12 will not form part of the shortlisting scoring for interview and offers will be made on 3 A levels taken in Year 13.","Overall score of 36 points with a mark of 6 in 3 Higher Level subjects which must include Chemistry and Biology. If English and Maths not offered at GCSE, this must be offered with a mark of at least 5 at Standard level.","A minimum of 6 GCSEs grade 6 or above required in Maths, English Language, Biology and Chemistry or Dual Science. Please note that applicants applying with these minimums are unlikely to be shortlisted to interview and that scoring is based on 8 GCSEs.",UCAT. This is used as part of the pre selection criteria for interview.,Multiple Mini Interview.,"This course uses a mixture of teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences.  This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements. What is Enquiry-based learning? Enquiry-based learning (EBL) starts by posing questions, problems or scenarios. Students will identify and research issues and questions to develop their knowledge. This style is generally used in small-scale investigations and projects, as well as research.","Clinical experience is not required. Work experience is a valuable aide to help a prospective applicant more effectively understand a career in medicine. It is a useful tool to reflect upon but on its own, does not form part of the selection process.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-5/,Leeds,574.0,17.0,2.96,No
University of Leicester,MBChB Medicine (A100),"Our requirement is A*AA at A-level, in three subjects including Chemistry or Biology (with practical aspects) and one of Biology, Chemistry, Physics, Maths or Psychology. The A* would need to be in one of the sciences as mentioned above. We will consider applicants with AAA (including two sciences as above) and EPQ grade B or an AS-level grade A in a fourth subject, or grade B in the Welsh Baccalaureate Advanced Skills Challenge Certificate / Advanced Skills Baccalaureate Wales qualification. If you have taken four full A-levels (not including overlapping subjects such as Maths and Further Maths), we can also give an alternate offer of AAAB. In this case, all A-levels must be completed in Year 12 or 13. If one of the four A-levels is a language subject other than English of which the candidate is a home or native speaker, we would require AAA in the three remaining A-levels.","A minimum score of 34 points  overall, and a minimum score of  7,6,6  in three Higher Level subjects including Chemistry or Biology, and one of Biology, Chemistry, Physics, Maths, Sports Science or Psychology. The  7  would need to be in one of the sciences as mentioned above. We will also consider candidates with  an overall score of  36 and 6,6,6  in their three Higher Level subjects including two sciences as mentioned above.","Applicants must have achieved at least a  grade B or 6  in English Language (as a first language), Maths, and two sciences (including Chemistry and Biology or Double Science). For students taking Methods and Applications in Maths our minimum requirement is a Grade B or 6 in both, but we will only score the Methods in Maths.",UCAT. Weighted 50:50 alongside academic qualifications pre-interview. SJT band 4 not considered.,Multiple Mini Interviews (in-person for Home applicants and online for international applicants).,"This course uses a combination of teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences. This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.","There is no minimum work experience requirement for this course. Applicants should focus on what they have learned from their experiences rather than the quantity of experience. Clinical experience is not mandatory, we are more interested in applicants demonstrating an understanding of the doctor's role and the core values and attributes needed for medicine.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-6/,Leicester,517.0,26.0,5.03,Yes
University of Lincoln,MBChB Medicine (A100),"AAA, to include Biology. A Level General Studies, Critical Thinking, EPQ, Global Perspectives, and Citizenship Studies will not be accepted.","36 points overall with Higher Level Biology grade 6, and at least 6 Grade As in IB Middle Years or GCSE to include Biology and Chemistry at grade 6(A) and English Language and Maths at grade 5 (B).","At least six GCSEs at Grade 7 or above (or equivalent where A*-C grades are awarded), to include Biology and Chemistry or Double Science. Minimum grade 6 in both English Language and Mathematics.","The University Clinical Aptitude Test (UCAT) is a requirement for application. This must be taken in the same admission cycle as the application to study medicine is made. SJT and individual test section scores converted to points and added to GCSE points score to create an overall Academic Score which is used to rank students to call to interview. An achieved Situational Judgement Test (SJT) Band 4 will not be considered, and applications will automatically be rejected. The medical school does not have a set UCAT cut-off. The admissions team will review how the UCAT is used on an annual basis.",Multiple mini interviews.,"This course uses multiple teaching methods. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",We don't have specific works experience criteria. Clinical experience is not required. We would expect applicants to: Speak to someone working in the NHS to ensure you are making an informed choice about your career in medicine. Demonstrate a commitment to caring for people and a realistic idea of what working as a doctor entails.,Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-12/,Lincoln,,,,
University of Liverpool,MBChB Medicine (A100),"AAA to include Chemistry together with either Biology, Physics or Mathematics and a third academic subject. Alternatively A*AB also accepted but the A* A grades must include Chemistry together with either Biology, Physics or Maths; and a B grade required in the third academic subject.","36 points overall (at first sitting): Higher level (HL) a minimum of 6,6,6 to include Chemistry together with either Biology, Physics or Mathematics and a third academic subject. 5,5,5 at standard level (subjects not offered at HL). Alternatively, 36 points overall (at first sitting): Higher level (HL) a minimum of 7,6,5 but the 7 and 6 grades must include Chemistry together with either Biology, Physics or Mathematics in any order and 5 in a third academic subject. 5,5,5 at standard level (subjects not offered at HL).","9 GCSEs attained by the end of Year 11 which must include English Language, Mathematic, Biology and Chemistry (or Core & Additional Science, combined or triple science) at minimum grade B/6. A minimum score of 15 points from the best 9 GCSEs or equivalents (where A*/A/7/8/9 = 2 points; B/6 = 1 points). BTEC (Non-Science) Level 2 and OCR awards (Distinction*/Distinction = 2 points) BTEC (Non-Science) Level 2 and OCR awards (Merit = 1 point). Two points is the maximum score awarded in each subject area (e.g. only one of Maths and Further Maths). No more than two Level 2 BTEC qualifications or OCR awards will be considered as part of the 9 GCSEs/equivalents. These cannot be used as replacements for English Language, Maths and Science subjects. I.e. a minimum of 7 full GCSEs required.",For non-graduate applicants who meet or potentially meet our stated minimum academic criteria we take those with the highest overall UCAT scores to interview. Thus a combination of the number of interview places available and the number of applicants who meet our minimum criteria determines determines the minimum overall UCAT requirement. Home applicants need to offer SJT Bands 1-3 with no added benefit in offering a higher band and SJT is not used for international students. Graduate applicants must take the GAMSAT admissions test.,Multiple Mini Interviews.,"An integrated programme incorporating a variety of teaching methods including preparatory lectures, seminars, workshops, case based learning and specialist clinical, communication and anatomy teaching. The curriculum is delivered under a spiral model, under which concepts are introduced at an appropriate level, and revisited with increasing levels of complexity as the course progresses. Throughout years two-five students undertake clinical placements. Local NHS Trusts, GP practices, hospices, specialist services and community services deliver the placement components of the programme. Each hospital placement takes place at one, or more, of the North West hospital sites. During the course of their studies, students will be expected to rotate through the different clinical providers for variable lengths of time, dependent upon placement block requirements and length. This block rotational model has been designed to allow improved student ability in managing transitions and working across different clinical environments to help prepare them for junior medical postgraduate training.","Clinical experience is not required. We are not prescriptive in the need for work experience. From their own personal experiences, applicants will be expected to demonstrate that they understand the role of the doctor.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-7/,Liverpool,455.0,30.0,6.59,Yes
University of Manchester,MBChB Medicine (A106),"AAA, including in: Biology/Human Biology or Chemistry; and One of the following subjects from Chemistry; Biology/Human Biology; Physics; Psychology; Mathematics or Further Mathematics.","36 points overall. 6,6,6, in Higher Level subjects. If Maths and English Language are not offered as part of the Diploma, they should be offered at GCSE or IGCSE at grade B (6) or above. We accept both Maths options as part of the Diploma. Major subjects must include Chemistry or Biology, plus another science (one from Chemistry, Biology, Physics, Psychology or Mathematics) and one further subject at Higher Level.","We require at least seven GCSEs at grade A (7) or A* (8+). Applicants must demonstrate a broad general education, including GCSE/IGCSE English Language, Mathematics and at least two science subjects, at a minimum of grade 6 (B). €¯GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. If Dual Award Science or Core and Additional Science are offered, the minimum required is BB (66).","We use a UCAT threshold. The threshold will be based on the standard of scores for that year, so we are not able to confirm what our threshold is in advance of the UCAT deadline. We do not currently consider applicants who achieve Band 3 or 4 in the Situational Judgement Test (SJT) element of the UCAT. However, UCAT will be changing from 2026. We will update this policy as appropriate when more information is available.",In person and online multiple mini interviews.,What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.,"Clinical experience is not required. We are not looking for a particular number of hours doing a specific type of work experience. We are trying to ascertain that you have a clear idea of what it is like to study medicine and what the role of a doctor entails. We will look to see that you can demonstrate a genuine and sustained commitment to wanting to enter a caring profession, and you are able to reflect on what you have gained from the work experience you have undertaken.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a106/,Manchester,599.0,48.0,8.01,Yes
University of Nottingham,BMBS Medicine (A100),"AAA: must include biology (or human biology) and chemistry. We do not accept citizenship studies, critical thinking, general studies, or global perspectives.","34 points overall including HL6 in Biology, HL6 in Chemistry or 6,6,6 in 3 HL Certificates with HL 6 in Biology, HL6 in Chemistry.","A minimum of six GCSEs at Level 7 (A), including both biology or human biology and chemistry. You must have achieved a minimum of a grade 6 (B) in maths and English language. A minimum of six GCSEs should have been studied over a two-year period and the required grades achieved in one sitting. We will consider resits for no more than one GCSE subject resit in maths, English language, biology, human biology, chemistry or double science qualifications. The achieved overall resit grade must be a minimum of Level 6 (B) in maths or English language, and a minimum of Level 7 (A) in biology, human biology, chemistry or double science (7,7) qualifications",UCAT. All applicants must sit the UCAT in the same year as the application is made for the course. Applicants who achieve a UCAT SJT grade of Band 4 will not be considered for this course. UCAT sections are scored separately and we do not have a fixed UCAT threshold for interview.,Online multiple mini interviews.,"What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Applicants are usually expected to complete regular work experience when applying for medicine. This can be: volunteering in a care related setting volunteering with disadvantaged groups paid employment in a job working with the general public We are not expecting any in person NHS work experience. Your application for 2026 entry will not be negatively affected if you've been unable to complete any in person NHS work experience.,Yes,https://www.medschools.ac.uk/courses/bmbs-medicine-a100-2/,Nottingham,542.0,46.0,8.49,Yes
University of Oxford,BM BCh Medicine (A100),"A*AA in three A-levels (excluding Critical Thinking and Thinking Skills) taken in  the same  academic year. Candidates are required to achieve at least a grade A in both Chemistry and at least one of Biology, Physics, Mathematics or Further Mathematics. We expect you to have taken and passed any practical component in your chosen science subjects.","39 (including core points) with 766 at HL. Candidates are required to take Chemistry  and at least one of Biology, Physics or Mathematics  to Higher Level.","There are no formal GCSE requirements for Medicine. However, in order to be adequately equipped for the application process  and for the academic demands of the course, applicants will need to have received a basic education in Biology, Physics and Mathematics. For example, students should have received at least a grade C/4 at GCSE, Intermediate 2 or Standard grade (Credit) or equivalent. The GCSE Dual Award Combined Sciences is also appropriate. Visit the Medical Sciences Shortlisting page for further details on how we assess GCSEs.",UCAT. A contextualised measure of GCSE attainment is combined (50:50) with a UCAT score normalised to the scores of all Oxford applicants (for applicants without GCSEs the UCAT is given double weight). This score is used to generate a preliminary shortlist. The applications of all those not shortlisted in this way are then scrutinised in detail to identify a further ~80 applicants who may have been disadvantaged in the first stage for a variety of reasons; these are then added to the shortlist.,Online traditional panel interviews.,"This course uses multiple teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with three years of  €˜pre-clinical' work, involving study of the basic medical sciences. In Year 3 you will be able to specialise in one of a wide range of other subjects. You might see this referred to as intercalation . This is followed by the  €˜clinical' course, lasting three years, during which you will work in hospital wards under the supervision of consultants. What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.","All applicants are free to make reference to skills or experience acquired in any context to date when trying to address our selection criteria: sometimes applicants refer to voluntary work and other extra-curricular activity, but many forms of evidence can help demonstrate to tutors that an applicant has tried to make an informed decision regarding his/her own suitability to study Medicine. While some work experience in hospitals is theoretically desirable, we do appreciate that it can be very difficult to arrange and we therefore have no requirement for it. Any form of voluntary work would be beneficial in the context of applying for Medicine (such as helping out in a hospital, at an old people's home, St John's Ambulance, or work with a charity or overseas agency).",Yes,https://www.medschools.ac.uk/courses/bm-bch-medicine-a100/,Oxford,491.0,29.0,5.91,Yes
University of Plymouth,BMBS Medicine (A100),"The typical offer is AAA GCE A level which must include the following: Grade A in a second science from Chemistry, Physics, Maths or Psychology Your third A level can be in any subject, we do not give preference to three science A levels. General Studies is not accepted.","36–38 points overall to include the following: Higher Level 6 in Biology Higher Level 6 in one further science from Chemistry, Physics, Mathematics or Psychology","Applicants need to achieve 7 GCSE passes (minimum grade 4/C) which must include: English Language Mathematics Two Science subjects – either GCSE Double Award Science or two from single award Chemistry, Biology, or Physics We are unable to consider functional skills in lieu of GCSEs.","UCAT. As part of our commitment to a fair and transparent admissions process, the Medical School uses the University Clinical Aptitude Test (UCAT) alongside Level 2 and 3 qualifications to select applicants for interview. The Admissions Advisory Panel reserve the right to consider all aspects of the UCAT when shortlisting for interview.",Online multiple mini interviews.,"What is Enquiry-based learning? Enquiry-based learning (EBL) starts by posing questions, problems or scenarios. Students will identify and research issues and questions to develop their knowledge. This style is generally used in small-scale investigations and projects, as well as research.",We do not require work experience.,Not Approved,https://www.medschools.ac.uk/courses/bmbs-medicine-a100/,Plymouth,276.0,23.0,8.33,No
University of Sheffield,MBChB Medicine (A100),AAA to include Chemistry or Biology and a second science subject.,"36, with 6 in three Higher Level subjects including Chemistry or Biology and a second science, and no less than 4 in all Standard Level subjects.","5 GCSEs at grade 7/A, with at least grade 6/B in Maths, English Language and the science subjects (Dual Award Science also acceptable).","UCAT. Each year, we set a minimum UCAT score threshold, which is 1800 for 2026 entry. Applications will be ranked according to their UCAT scores and only those with the highest UCAT scores will be invited to interview.","For home applicants, we use a multiple mini-interview (MMI) format, which applicants attend in person. International applicants will be invited to an online panel interview.","What is a traditional pre-clinical and clinical course? Students begin their training with   €˜pre-clinical' work, involving study of the basic medical sciences. This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants.",Clinical experience is not required. Work experience is discussed at interview.,Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-11/,Sheffield,251.0,49.0,19.52,Yes
University of Southampton,BMBS Medicine BM5 (A100),"AAA to include A level Biology and one additional science (with a pass in the practical element where it is separately endorsed). Please note applicants must offer AAA or above, we do not accept grade or tariff equivalents to AAA. Acceptable science subjects are Chemistry, Physics, Psychology, Sociology, Environmental Studies or Geography. Offers typically exclude General Studies and Critical Thinking. Subjects where there may be considerable overlap of material will not be accepted in combination (examples of combinations include, but are not exclusive to, Zoology/Biology; Biology/Sports Studies/Physical Education). If you believe there is a potential overlap, please contact us before applying. Please see below for additional GCSE requirements.","Overall score of 36 points with 18 at Higher Level, with 6 in Biology and one additional Science. Acceptable science subjects are Chemistry, Physics, Psychology, Sociology, Environmental Studies or Geography. Subjects where there may be considerable overlap of material will not be accepted in combination (examples of combinations include, but are not exclusive to, Zoology/Biology; Biology/Sports Studies/Physical Education). If you believe there is a potential overlap, please contact us before applying.","All applicants (Home and International) must meet the minimum GCSE requirement. If an International applicant has not taken GCSEs they must offer an equivalent qualification with comparable subjects and grades to those listed below. BM5 (standard and contextual applicants) – applicants must hold 7 GSCEs at grade B/6 or above, including English language, mathematics and either biology and chemistry, combined science, or science and additional science. BM5 Graduate applicants – Applicants must hold 4 GCSEs at grade C/4 or above, including English language, mathematics and either biology and chemistry, combined science, or science and additional science. BM5 Mature Non-Graduate applicants (applicants who are over 21 at the point of applying who do not have a degree)- applicants must hold 4 GCSEs at grade C/4 or above, including English language, mathematics and either biology and chemistry, combined science, or science and additional science.",UCAT. We rank applicants by UCAT score and invite the top candidates to one of our selection days.,Selection day which includes traditional panel interviews and group exercises.,"Our BM5 curriculum is currently being updated. From 2025, BM5 Year 1 students will study an improved and updated course. This will have more clinical learning time and embedded research experience.","Completion of formal work experience or volunteering is not required. However, applicants are expected to demonstrate what they have learned from their experiences of interacting with people in health or social care settings (this may include work experience, paid employment and personal experiences both in and outside health and social care settings).",Yes,https://www.medschools.ac.uk/courses/bmbs-medicine-bm5-a100/,Southampton,194.0,20.0,10.31,Yes
University of St Andrews,,,,,,,,,,,,200.0,48.0,24.0,No
University of St Andrews (A100),MBChB Medicine (A100),"Standard entry grades: AAA Minimum entry grades: AAB These grades must include Chemistry and one of Biology, Mathematics or Physics.","Standard entry grades: 38 points (HL 6,6,6 plus SL 6,6,6) Minimum entry grades: 36 points (HL 6,6,5 plus SL 6,6,5) These grades must include HL in Chemistry and HL in one of Biology, Mathematics or Physics.","Minimum of €¯five GCSEs at grade A or 7 to be taken at one sitting, will be required. Applicants with achieved A-Levels, may be considered with less than five A grades (grade 7 in numerical grading) at GCSE.","UCAT, used for ranking for interview selection, after academic screening.","In person interviews for Home funded students, Online interviews for Rest of UK and Overseas students.","What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences.  This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants.","Applicants must have work or shadowing experience in a caring or health environment. This experience could have been gained in hospitals, GP surgeries, nursing homes or local hospices, or by working with people who have ill health or a disability.",Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-10/,St Andrews,,,,
University of St Andrews (ScotCOM),MBChB Medicine Scottish Community Orientated Medicine ScotCOM (A10C),"Standard entry grades: AAA Minimum entry grades: AAB These grades must include Chemistry and one of Biology, Mathematics or Physics.","Standard entry grades: 38 points (HL 6,6,6 plus SL 6,6,6) Minimum entry grades: 36 points (HL 6,6,5 plus SL 6,6,5) These grades must include HL in Chemistry and HL in one of Biology, Mathematics or Physics.","Minimum of €¯five GCSEs at grade A or 7 to be taken at one sitting, will be required. Applicants with achieved A-Levels, may be considered with less than five A grades (grade 7 in numerical grading) at GCSE.","UCAT, used for ranking for interview selection, after academic screening.","In person interviews for Home funded students, Online interviews for Rest of UK and Overseas students.","What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences.  This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants.","Applicants must have work or shadowing experience in a caring or health environment. This experience could have been gained in hospitals, GP surgeries, nursing homes or local hospices, or by working with people who have ill health or a disability.",Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-scottish-community-orientated-medicine-scotcom-a10c/,St Andrews,,,,
University of Sunderland,MBChB Medicine (A100),"A Levels in three subjects at grades of AAA are required, including Biology or Chemistry plus another designated science subject (Biology, Chemistry, Physics, Maths/Further Maths/Statistics) and a third academic subject. Any science A Level (Biology, Chemistry, Physics) completed in England from 2017 must include a pass in the practical endorsement; without this the qualification will be judged to have been failed, regardless of the headline grade. Only one subject from a combination of Maths or Further Maths or Statistics will be considered within the three A Levels. A Level grades must be achieved in one sitting.","35 points including three grade 6 passes at IB Higher Level and grades of 6, 6, 5 at Standard Level are required. Higher Level subjects must include Chemistry or Biology, plus one from Chemistry, Biology, Physics or Maths and a third rigorous subject. Any science not taken at the Higher Level must be offered at Standard Level grade 5 or GCSE grade B (or equivalent). Points awarded for the Extended Essay or Theory of Knowledge are not taken into account but these components must have been completed. English Language (Language A) at Grade 6 is acceptable in lieu of GCSE English Language. Please see English Language Requirements under General Requirements if you do not have either of these.","We require five passes at GCSE grade A (numerical grade 7) with a minimum of grade B (numerical grade 6) in Maths, English Language, Biology, Chemistry, and Physics. GCSE resits are accepted and must be gained prior to application, a maximum of 2 resit attempts per subject will only be considered.",All applicants must take the University Clinical Aptitude Test (UCAT) during the year in which they apply. Scores must be within the top 8 deciles of the cohort and situational judgement test (SJT) must be within bands 1-3.,Multiple Mini Interviews.,"This course uses multiple teaching methods. What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Clinical experience is not required. Work experience is assessed within the interview selection tool.,Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-8/,Sunderland,,,,
